user,uuid,ts,category,action,label,value
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243056467,_trace,browser,userAgent,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36"
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243056467,_trace,screen,size,w:1920;h:1080
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243056467,_trace,window,innerSize,w:1920;h:969
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243056467,log_2,load,webpage,/web/map.html
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243057690,log_18,page,blur,map
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243071818,log_17,page,focus,map
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243071930,log_4,/web/map.html,Return to Data View Button,Clicked
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243071942,log_18,page,blur,map
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243072796,log_1,Vistorian Trace,Session,Start
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243072796,_trace,browser,userAgent,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36"
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243072796,_trace,screen,size,w:1920;h:1080
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243072796,_trace,window,innerSize,w:1920;h:969
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243072796,log,load,webpage,/web/dataview.html
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243073209,log_5,Bookmark_Consent_Display,Consent_button,True
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243073209,log_5, Consent Form ,Displayed,dataview
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243083581,log_9,start logging,webpage,dataview
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243090047,log_1,Vistorian Trace,Session,Start
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243090047,_trace,browser,userAgent,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36"
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243090047,_trace,screen,size,w:1920;h:1080
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243090047,_trace,window,innerSize,w:494;h:720
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243090047,log_17,page,focus,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243090047,log_18,page,blur,dataview
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243090048,log_9,start logging,webpage,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243092246,bkm_10, bookmark file imported,True,/web/dataview.html
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243092246,bkm_10,/web/dataview.html,bookmark_tool,Bookmarks File Imported
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243092339,log_18,page,blur,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243093893,log_17,page,focus,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243093894,log_9,start logging,webpage,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243094872,log_17,page,focus,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243094872,log_9,start logging,webpage,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243094872,log_17,page,focus,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243094872,log_9,start logging,webpage,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243094872,bkm_7, show current view bookmarks,selected,/web/dataview.html
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243098046,com_3,/web/dataview.html,bookmark_tool,consult_team
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243098757,log_18,page,blur,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243107708,log_17,page,focus,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243107708,log_9,start logging,webpage,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243108422,com_4,/web/dataview.html,bookmark_tool,ReportTechBug
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243108593,log_18,page,blur,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243111338,log_17,page,focus,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243111339,log_9,start logging,webpage,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243113582,log_11, Session ID Button,Show,/web/dataview.html
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243120598,log_18,page,blur,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243122720,log_17,page,focus,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243122721,log_9,start logging,webpage,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243129352,log_18,page,blur,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243137032,log_17,page,focus,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243137034,log_9,start logging,webpage,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243137040,log_18,page,blur,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243197697,log_17,page,focus,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243197698,log_9,start logging,webpage,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243197883,log_17,page,focus,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243197883,log_9,start logging,webpage,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243197884,log_17,page,focus,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243197884,log_9,start logging,webpage,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243197884,bkm_7, show all bookmarks (view),selected,/web/dataview.html
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243198814,log_17,page,focus,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243198815,log_9,start logging,webpage,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243198815,log_17,page,focus,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243198815,log_9,start logging,webpage,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243198815,bkm_7, show current view bookmarks,selected,/web/dataview.html
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243202574,bkm_10, bookmark file imported,True,/web/dataview.html
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243202574,bkm_10,/web/dataview.html,bookmark_tool,Bookmarks File Imported
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243202655,log_18,page,blur,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243204370,log_17,page,focus,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243204371,log_9,start logging,webpage,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243206271,bkm_10,/web/dataview.html,bookmark_tool,Bookmarks File Cleared
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243206272,log_18,page,blur,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243206272,log_17,page,focus,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243206273,log_9,start logging,webpage,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243210550,log_1,Vistorian Trace,Session,Start
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243210550,_trace,browser,userAgent,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36"
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243210550,_trace,screen,size,w:1920;h:1080
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243210550,_trace,window,innerSize,w:494;h:707
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243210550,bkm_9, bookmarks file export,False,/web/dataview.html
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243210550,bkm_9,/web/dataview.html,bookmark_tool,Bookmarks File Exported
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243210551,log_18,page,blur,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243210552,log_17,page,focus,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243210552,log_9,start logging,webpage,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243212631,log_18,page,blur,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243212777,log_17,page,focus,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243212777,log_9,start logging,webpage,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243213007,log_18,page,blur,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243213023,log_17,page,focus,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243213023,log_9,start logging,webpage,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243214293,log_18,page,blur,logbook
