usrID,logID,view,event,category,index,start,end,userSession,userID+session,session
2699,dat_11,,Specify Column: target,data,0,198,199,1,2699_1,2
2699,dat_11,,Specify Column: target,data,0,219,220,1,2699_1,2
2699,dat_11,,Specify Column: target,data,0,253,254,1,2699_1,2
2699,dat_11,,Specify Column: target,data,0,255,256,1,2699_1,2
2699,dat_11,,Specify Column: target,data,0,258,263,1,2699_1,2
2699,log_2,,Visit Page ,logging,2,288,289,1,2699_1,2
2699,dat_1,,New Network,data,0,291,292,1,2699_1,2
2699,dat_2_LT,,Upload new Link table,data,0,304,305,1,2699_1,2
2699,dat_2,,upload data,data,0,317,320,1,2699_1,2
2699,dat_11,,Specify Column: target,data,0,323,324,1,2699_1,2
2699,dat_11,,Specify Column: target,data,0,325,326,1,2699_1,2
2699,dat_11,,Specify Column: target,data,0,336,337,1,2699_1,2
2699,dat_2,,upload data,data,0,341,342,1,2699_1,2
2699,dat_2,,upload data,data,0,347,348,1,2699_1,2
2699,dat_11,,Specify Column: target,data,0,357,358,1,2699_1,2
2699,vis_1,,Visualization Link,visualization,1,372,373,1,2699_1,2
2699,log_2,Node-Link,Visit Page Node-Link,logging,2,373,374,1,2699_1,2
2699,vis_32,Node-Link,Link,visualization,1,383,384,1,2699_1,2
2699,vis_41,Node-Link,Zoom,visualization,1,384,385,1,2699_1,2
2699,vis_32,Node-Link,Link,visualization,1,385,387,1,2699_1,2
2699,vis_41,Node-Link,Zoom,visualization,1,386,387,1,2699_1,2
2699,vis_32,Node-Link,Link,visualization,1,424,425,1,2699_1,2
2699,vis_41,Node-Link,Zoom,visualization,1,424,425,1,2699_1,2
2699,vis_32,Node-Link,Link,visualization,1,424,425,1,2699_1,2
2699,vis_41,Node-Link,Zoom,visualization,1,425,426,1,2699_1,2
2699,vis_32,Node-Link,Link,visualization,1,425,426,1,2699_1,2
2699,vis_32,Node-Link,Link,visualization,1,431,433,1,2699_1,2
2699,vis_30,Node-Link,Node,visualization,1,432,434,1,2699_1,2
2699,vis_32,Node-Link,Link,visualization,1,433,434,1,2699_1,2
2699,vis_30,Node-Link,Node,visualization,1,433,434,1,2699_1,2
2699,vis_32,Node-Link,Link,visualization,1,433,434,1,2699_1,2
2699,vis_30,Node-Link,Node,visualization,1,433,434,1,2699_1,2
2699,vis_32,Node-Link,Link,visualization,1,433,434,1,2699_1,2
2699,vis_30,Node-Link,Node,visualization,1,433,434,1,2699_1,2
2699,vis_32,Node-Link,Link,visualization,1,433,434,1,2699_1,2
2699,vis_30,Node-Link,Node,visualization,1,433,435,1,2699_1,2
